ID_ENTIDAD,MUNICIPIO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
10,028,PESD,"ALEJANDRO MENA HERNANDEZ","LORENZO ESPARZA ZUÑIGA"
10,029,CC_PAN_PRI,"JOSE MANUEL GALLEGOS RANGEL","MA. GUADALUPE JAQUEZ TREMILLO"
10,029,C_PVEM_PT_MORENA,"GLORIA GONZALES ARANGO","MARTHA ELVA HERNANDEZ LUNA"
10,029,PV,"OLGA LYDIA ROBLES VILLA","HERMELINDA MENDOZA GUERRERO"
10,030,CC_PAN_PRI,"MA. MAYELA RUIZ","YACARANDAY VALENZUELA JIMENEZ"
10,030,C_PVEM_PT_MORENA,"MARIA GUADALUPE CHAVARRIA CORCHADO","CECILIA PEREZ ORTEGA"
10,030,MC,"ANDRES RUBIO CASTRO","FELIPE DE JESUS MERAZ BAILON"
10,030,PESD,"ROSALBA RUIZ SALAS","SANDRA MARINA RUIZ RAVELO"
10,031,CC_PAN_PRI,"FLOR MATILDE CARDOZA JIMENEZ","ROSA ELISA JURADO RETANA"
10,031,C_PVEM_PT_MORENA,"REGINALDO CARRILLO VALDEZ","EDITH YADIRA BERMUDEZ CASTAÑEDA"
10,031,MC,"MARIA GUADALUPE ESPINO PEREZ",
10,032,CC_PAN_PRI,"HERMELINDA CRUZ RIVERA","ANA BELY ADAME GUERRERO"
10,032,C_PVEM_PT_MORENA,"MARIA GUADALUPE AGUILAR FRAIRE","MARIA GUILLERMINA MUÑOZ OLVERA"
10,032,MC,"BLANCA GUADALUPE BELTRAN CRUZ",
10,032,PV,"SANDRA ALICIA MARTINEZ AGUILAR","MARIA DEL ROSARIO RIVAS GARCIA"
10,032,PER,"MARISOL MARTINEZ MORENO","CIRA SARAHY RIVAS ORTIZ"
10,033,CC_PAN_PRI,"JOSE RAQUEL RAMIREZ NEVAREZ","ALMA KARINA JAQUEZ SEPULVEDA"
10,033,C_PVEM_PT_MORENA,"KAREN FERNANDA PEREZ HERRERA","GRACIELA URBINA VALDEZ"
10,033,MC,"MARTHA JUDITH URBINA DIAZ","MARIA MAGDALENA ENRIQUEZ ORTEGA"
10,033,PV,"JULIA ROSALES RIVERA","SARA CECILIA REYES ROSALES"
10,033,PER,"MARIA DE JESUS NEVAREZ SEGOVIA","NEFTALI ORTIZ ESTRELLA"
10,034,CC_PAN_PRI,"CINTHYA GUADALUPE MIER GOMEZ","MAYRA JOSEFINA REVELES BUENDIA"
10,034,C_PVEM_PT_MORENA,"BENJAMIN PAEZ PEREZ","HUGO JAVIER PIEDRA MARTINEZ"
10,034,MC,"MYRIAM RODARTE FLORES",
10,034,PER,"GEMA SALAS MERAZ","YULIANA LISBETH SALAS MERAZ"
10,035,CC_PAN_PRI,"JUAN ELIGIO ANGULO ZAMUDIO","LORENZO RIOS SOTO"
10,035,MC,"ANA CECILIA TORRES OJEDA",
10,035,MORENA,"RICARDO OCHOA BELTRAN","MARISOL GARCIA ONTIVEROS"
